check_type,field_name,value,percent,notes
monthly_completeness,2025-07-01,51,100.0,State/DC records present for month; preliminary records selected: 0.
monthly_completeness,2025-08-01,51,100.0,State/DC records present for month; preliminary records selected: 0.
monthly_completeness,2025-09-01,51,100.0,State/DC records present for month; preliminary records selected: 0.
monthly_completeness,2025-10-01,51,100.0,State/DC records present for month; preliminary records selected: 0.
monthly_completeness,2025-11-01,51,100.0,State/DC records present for month; preliminary records selected: 0.
monthly_completeness,2025-12-01,51,100.0,State/DC records present for month; preliminary records selected: 0.
monthly_completeness,2026-01-01,51,100.0,State/DC records present for month; preliminary records selected: 0.
monthly_completeness,2026-02-01,51,100.0,State/DC records present for month; preliminary records selected: 51.
state_month_missingness,AK_2019-01-01,9,34.62,Missing preserved fields for one state-month record.
state_month_missingness,AK_2019-02-01,4,15.38,Missing preserved fields for one state-month record.
state_month_missingness,AK_2019-03-01,4,15.38,Missing preserved fields for one state-month record.
state_month_missingness,AK_2019-04-01,4,15.38,Missing preserved fields for one state-month record.
state_month_missingness,AK_2019-05-01,9,34.62,Missing preserved fields for one state-month record.
state_month_missingness,AK_2019-06-01,9,34.62,Missing preserved fields for one state-month record.
state_month_missingness,AK_2019-07-01,9,34.62,Missing preserved fields for one state-month record.
state_month_missingness,AK_2019-08-01,9,34.62,Missing preserved fields for one state-month record.
state_month_missingness,AK_2019-09-01,9,34.62,Missing preserved fields for one state-month record.
state_month_missingness,AK_2019-10-01,9,34.62,Missing preserved fields for one state-month record.
state_month_missingness,AK_2019-11-01,9,34.62,Missing preserved fields for one state-month record.
state_month_missingness,AK_2019-12-01,9,34.62,Missing preserved fields for one state-month record.
state_month_missingness,AK_2020-01-01,9,34.62,Missing preserved fields for one state-month record.
state_month_missingness,AK_2020-02-01,4,15.38,Missing preserved fields for one state-month record.
state_month_missingness,AK_2020-03-01,4,15.38,Missing preserved fields for one state-month record.
state_month_missingness,AK_2020-04-01,4,15.38,Missing preserved fields for one state-month record.
state_month_missingness,AK_2020-05-01,9,34.62,Missing preserved fields for one state-month record.
state_month_missingness,AK_2020-06-01,9,34.62,Missing preserved fields for one state-month record.
state_month_missingness,AK_2020-07-01,9,34.62,Missing preserved fields for one state-month record.
state_month_missingness,AK_2020-08-01,9,34.62,Missing preserved fields for one state-month record.
state_month_missingness,AK_2020-09-01,9,34.62,Missing preserved fields for one state-month record.
state_month_missingness,AK_2020-10-01,9,34.62,Missing preserved fields for one state-month record.
state_month_missingness,AK_2020-11-01,9,34.62,Missing preserved fields for one state-month record.
state_month_missingness,AK_2020-12-01,9,34.62,Missing preserved fields for one state-month record.
state_month_missingness,AK_2021-01-01,9,34.62,Missing preserved fields for one state-month record.
state_month_missingness,AK_2021-02-01,4,15.38,Missing preserved fields for one state-month record.
state_month_missingness,AK_2021-03-01,4,15.38,Missing preserved fields for one state-month record.
state_month_missingness,AK_2021-04-01,4,15.38,Missing preserved fields for one state-month record.
state_month_missingness,AK_2021-05-01,9,34.62,Missing preserved fields for one state-month record.
state_month_missingness,AK_2021-06-01,9,34.62,Missing preserved fields for one state-month record.
state_month_missingness,AK_2021-07-01,9,34.62,Missing preserved fields for one state-month record.
state_month_missingness,AK_2021-08-01,9,34.62,Missing preserved fields for one state-month record.
state_month_missingness,AK_2021-09-01,9,34.62,Missing preserved fields for one state-month record.
state_month_missingness,AK_2021-10-01,9,34.62,Missing preserved fields for one state-month record.
state_month_missingness,AK_2021-11-01,9,34.62,Missing preserved fields for one state-month record.
state_month_missingness,AK_2021-12-01,9,34.62,Missing preserved fields for one state-month record.
