state,state_abbr,fiscal_year,medicaid_fmap,medicaid_multiplier,source_name,source_url,date_accessed,review_status
Alaska,AK,2004,0.6134,1.59,KFF State Health Facts - Federal Medical Assistance Percentage (FMAP) for Medicaid and Multiplier,https://www.kff.org/medicaid/state-indicator/federal-matching-rate-and-multiplier/,2026-06-22,needs_review
Alaska,AK,2005,0.5758,1.36,KFF State Health Facts - Federal Medical Assistance Percentage (FMAP) for Medicaid and Multiplier,https://www.kff.org/medicaid/state-indicator/federal-matching-rate-and-multiplier/,2026-06-22,needs_review
Alaska,AK,2006,0.5758,1.36,KFF State Health Facts - Federal Medical Assistance Percentage (FMAP) for Medicaid and Multiplier,https://www.kff.org/medicaid/state-indicator/federal-matching-rate-and-multiplier/,2026-06-22,needs_review
Alaska,AK,2007,0.5758,1.36,KFF State Health Facts - Federal Medical Assistance Percentage (FMAP) for Medicaid and Multiplier,https://www.kff.org/medicaid/state-indicator/federal-matching-rate-and-multiplier/,2026-06-22,needs_review
Alaska,AK,2008,0.5248,1.10,KFF State Health Facts - Federal Medical Assistance Percentage (FMAP) for Medicaid and Multiplier,https://www.kff.org/medicaid/state-indicator/federal-matching-rate-and-multiplier/,2026-06-22,needs_review
Alaska,AK,2009,0.6112,1.57,KFF State Health Facts - Federal Medical Assistance Percentage (FMAP) for Medicaid and Multiplier,https://www.kff.org/medicaid/state-indicator/federal-matching-rate-and-multiplier/,2026-06-22,needs_review
Alaska,AK,2010,0.6246,1.66,KFF State Health Facts - Federal Medical Assistance Percentage (FMAP) for Medicaid and Multiplier,https://www.kff.org/medicaid/state-indicator/federal-matching-rate-and-multiplier/,2026-06-22,needs_review
Alaska,AK,2011,0.5000,1.00,KFF State Health Facts - Federal Medical Assistance Percentage (FMAP) for Medicaid and Multiplier,https://www.kff.org/medicaid/state-indicator/federal-matching-rate-and-multiplier/,2026-06-22,needs_review
Alaska,AK,2012,0.5000,1.00,KFF State Health Facts - Federal Medical Assistance Percentage (FMAP) for Medicaid and Multiplier,https://www.kff.org/medicaid/state-indicator/federal-matching-rate-and-multiplier/,2026-06-22,needs_review
Alaska,AK,2013,0.5000,1.00,KFF State Health Facts - Federal Medical Assistance Percentage (FMAP) for Medicaid and Multiplier,https://www.kff.org/medicaid/state-indicator/federal-matching-rate-and-multiplier/,2026-06-22,needs_review
Alaska,AK,2014,0.5000,1.00,KFF State Health Facts - Federal Medical Assistance Percentage (FMAP) for Medicaid and Multiplier,https://www.kff.org/medicaid/state-indicator/federal-matching-rate-and-multiplier/,2026-06-22,needs_review
Alaska,AK,2015,0.5000,1.00,KFF State Health Facts - Federal Medical Assistance Percentage (FMAP) for Medicaid and Multiplier,https://www.kff.org/medicaid/state-indicator/federal-matching-rate-and-multiplier/,2026-06-22,needs_review
Alaska,AK,2016,0.5000,1.00,KFF State Health Facts - Federal Medical Assistance Percentage (FMAP) for Medicaid and Multiplier,https://www.kff.org/medicaid/state-indicator/federal-matching-rate-and-multiplier/,2026-06-22,needs_review
Alaska,AK,2017,0.5000,1.00,KFF State Health Facts - Federal Medical Assistance Percentage (FMAP) for Medicaid and Multiplier,https://www.kff.org/medicaid/state-indicator/federal-matching-rate-and-multiplier/,2026-06-22,needs_review
Alaska,AK,2018,0.5000,1.00,KFF State Health Facts - Federal Medical Assistance Percentage (FMAP) for Medicaid and Multiplier,https://www.kff.org/medicaid/state-indicator/federal-matching-rate-and-multiplier/,2026-06-22,needs_review
Alaska,AK,2019,0.5000,1.00,KFF State Health Facts - Federal Medical Assistance Percentage (FMAP) for Medicaid and Multiplier,https://www.kff.org/medicaid/state-indicator/federal-matching-rate-and-multiplier/,2026-06-22,needs_review
Alaska,AK,2020,0.5620,1.28,KFF State Health Facts - Federal Medical Assistance Percentage (FMAP) for Medicaid and Multiplier,https://www.kff.org/medicaid/state-indicator/federal-matching-rate-and-multiplier/,2026-06-22,needs_review
Alaska,AK,2021,0.5620,1.28,KFF State Health Facts - Federal Medical Assistance Percentage (FMAP) for Medicaid and Multiplier,https://www.kff.org/medicaid/state-indicator/federal-matching-rate-and-multiplier/,2026-06-22,needs_review
Alaska,AK,2022,0.5620,1.28,KFF State Health Facts - Federal Medical Assistance Percentage (FMAP) for Medicaid and Multiplier,https://www.kff.org/medicaid/state-indicator/federal-matching-rate-and-multiplier/,2026-06-22,needs_review
