state,state_abbr,chip_structure_category,january_2019_total_medicaid_chip_enrollment,february_2026_total_medicaid_chip_enrollment,percent_change_jan_2019_to_feb_2026_total,observed_peak_month,observed_peak_enrollment,percent_decline_peak_to_feb_2026_total,february_2026_below_january_2019_baseline,medicaid_january_2019_enrollment,medicaid_february_2026_enrollment,medicaid_percent_change_jan_2019_to_feb_2026,chip_january_2019_enrollment,chip_february_2026_enrollment,chip_percent_change_jan_2019_to_feb_2026
Nebraska,NE,CHIP Medicaid expansion and separate CHIP,246966.0,333666.0,35.106046986224825,2023-05-01,400076.0,16.599346124236394,False,211826.0,296393.0,39.922861216281284,35140.0,37273.0,6.070005691519635
Nevada,NV,CHIP Medicaid expansion and separate CHIP,635194.0,727300.0,14.500451830464394,2023-05-01,904469.0,19.588178257076805,False,593290.0,680222.0,14.652530802811443,41904.0,47078.0,12.347269950362733
New Hampshire,NH,CHIP Medicaid expansion only,183652.0,172022.0,-6.332629102868468,2023-03-01,253166.0,32.05169730532536,True,168348.0,153037.0,-9.094851141682705,15304.0,18985.0,24.05253528489284
New Jersey,NJ,CHIP Medicaid expansion and separate CHIP,1730812.0,1739068.0,0.4770015460951276,2023-07-01,2272885.0,23.486318049527362,False,1518570.0,1482629.0,-2.3667661023199456,212242.0,256439.0,20.82387086439065
New Mexico,NM,CHIP Medicaid expansion only,734585.0,680107.0,-7.416160144843688,2023-03-01,890778.0,23.6502248596171,True,696863.0,636198.0,-8.70544138517901,37722.0,43909.0,16.401569375960978
New York,NY,CHIP Medicaid expansion and separate CHIP,6138988.0,6423072.0,4.627537959025169,2023-06-01,7634352.0,15.86617960502738,False,5569916.0,5765633.0,3.5138231887159517,569072.0,657439.0,15.528263558916974
North Carolina,NC,CHIP Medicaid expansion only,1911664.0,2849341.0,49.05030381908118,2025-07-01,2887045.0,1.3059720232971777,False,1636808.0,2503652.0,52.95941857566678,274856.0,345689.0,25.770949151555723
North Dakota,ND,CHIP Medicaid expansion only,91060.0,103737.0,13.921590160333846,2023-05-01,136252.0,23.863869888148432,False,88885.0,98345.0,10.642965629746302,2175.0,5392.0,147.9080459770115
Ohio,OH,CHIP Medicaid expansion only,2650556.0,2681863.0,1.181148408107582,2023-04-01,3446663.0,22.18957873166016,False,2444359.0,2439802.0,-0.1864292438222045,206197.0,242061.0,17.393075553960532
Oklahoma,OK,CHIP Medicaid expansion and separate CHIP,730160.0,968741.0,32.67516708666594,2023-04-01,1336866.0,27.536417262463104,False,608692.0,890835.0,46.35234239976869,121468.0,77906.0,-35.86294332663747
Oregon,OR,CHIP Medicaid expansion and separate CHIP,983156.0,1288913.0,31.099540662926334,2023-09-01,1467556.0,12.172823388000186,False,855544.0,1106086.0,29.284525401382044,127612.0,182827.0,43.26787449456164
Pennsylvania,PA,CHIP Medicaid expansion and separate CHIP,3016820.0,2994399.0,-0.7431997931596847,2023-04-01,3741046.0,19.958241625470524,True,2720791.0,2715845.0,-0.18178537050438642,296029.0,278554.0,-5.903137868249394
Rhode Island,RI,CHIP Medicaid expansion and separate CHIP,309557.0,286204.0,-7.544006435002277,2023-05-01,373989.0,23.472615504734094,True,276472.0,251044.0,-9.197314737116235,33085.0,35160.0,6.271724346380535
South Carolina,SC,CHIP Medicaid expansion only,1048346.0,967113.0,-7.748682209881089,2023-05-01,1334277.0,27.51782425988007,True,957616.0,853622.0,-10.859676530049624,90730.0,113491.0,25.086520445277195
South Dakota,SD,CHIP Medicaid expansion and separate CHIP,111178.0,137536.0,23.70792782744788,2023-03-01,146957.0,6.410718781684438,False,95120.0,122936.0,29.243061396131203,16058.0,14600.0,-9.079586498941337
Tennessee,TN,CHIP Medicaid expansion and separate CHIP,1402412.0,1401142.0,-0.0905582667575577,2023-05-01,1814686.0,22.788735902519775,True,1347322.0,1223332.0,-9.202699874269106,55090.0,177810.0,222.76275186059178
Texas,TX,CHIP Medicaid expansion and separate CHIP,4297684.0,3997752.0,-6.978921670369437,2023-05-01,5976306.0,33.10663811391184,True,3689464.0,3651928.0,-1.0173835549011998,608220.0,345824.0,-43.14162638518957
Utah,UT,CHIP Medicaid expansion and separate CHIP,288016.0,326311.0,13.296136325759681,2023-04-01,488964.0,33.26482113202608,False,244485.0,291629.0,19.28298259606929,43531.0,34682.0,-20.328042084950955
Vermont,VT,CHIP Medicaid expansion only,158440.0,149308.0,-5.763696036354456,2023-05-01,194794.0,23.350821893898168,True,153809.0,143842.0,-6.480114947759883,4631.0,5466.0,18.030662923774564
Virginia,VA,CHIP Medicaid expansion and separate CHIP,1237262.0,1660787.0,34.23082580730678,2023-05-01,2051719.0,19.05387628617759,False,1095021.0,1469914.0,34.23614706932561,142241.0,190873.0,34.18986086993201
Washington,WA,Separate CHIP only,1745055.0,1784702.0,2.271962774812255,2023-05-01,2197395.0,18.781011151841156,False,1673442.0,1718979.0,2.7211579487069164,71613.0,65723.0,-8.224763660229288
West Virginia,WV,CHIP Medicaid expansion and separate CHIP,521629.0,487229.0,-6.59472536994684,2023-04-01,662638.0,26.471316163576493,True,485686.0,447364.0,-7.890283022364243,35943.0,39865.0,10.911721336560666
Wisconsin,WI,CHIP Medicaid expansion and separate CHIP,1021451.0,1118742.0,9.524783861389336,2023-06-01,1457504.0,23.242612027136804,False,950778.0,1018694.0,7.143202724505615,70673.0,100048.0,41.56467109079847
Wyoming,WY,CHIP Medicaid expansion only,58059.0,58942.0,1.5208667045591553,2023-07-01,85818.0,31.31743923186278,False,53418.0,52961.0,-0.8555168669736792,4641.0,5981.0,28.873087696617105
