baseline_month,number_of_states_plus_dc_below_baseline_by_february_2026,states_plus_dc_below_baseline,lowest_percent_change_state,lowest_percent_change,highest_percent_change_state,highest_percent_change,national_total_enrollment_at_baseline,national_total_enrollment_february_2026,national_raw_change,national_percent_change
2019-01-01,22,AK; AZ; AR; CO; DC; FL; IA; KY; LA; MA; MI; MS; MT; NH; NM; PA; RI; SC; TN; TX; VT; WV,MT,-25.780963077855628,NC,49.05030381908118,72165928.0,74877742.0,2711814.0,3.757748393396951
2020-02-01,20,AK; AZ; AR; CO; DC; FL; ID; IA; LA; MA; MI; MT; NH; NM; RI; SC; TN; TX; VT; WV,MT,-17.642241038221094,NC,53.11620553699525,71416272.0,74877742.0,3461470.0,4.846892596129913
